_id,rsn,year_registered,year_evaluated,year_built,property_type,ward,wardname,site_address,confirmed_storeys,confirmed_units,evaluation_completed_on,score,results_of_score,no_of_areas_evaluated,entrance_lobby,entrance_doors_windows,security,stairwells,laundry_rooms,internal_guards_handrails,garbage_chute_rooms,garbage_bin_storage_area,elevators,storage_areas_lockers,interior_wall_ceiling_floor,interior_lighting_levels,graffiti,exterior_cladding,exterior_grounds,exterior_walkways,balcony_guards,water_pen_ext_bldg_elements,parking_area,other_facilities,grid,latitude,longitude,x,y
2459,4154383,2017,2021,1970,PRIVATE,6,York Centre,1265 WILSON AVE,4,61,2021-11-04,74,Evaluation needs to be conducted in 2 years,18,3,3,3,4,4,3,4,3,5,,4,4,5,4,3,3,4,4,4,,N0631,43.7238062,-79.49209777,305420.909,4842428.319
2460,4154399,2017,2021,1960,PRIVATE,6,York Centre,1303 WILSON AVE,8,85,2021-11-04,68,Evaluation needs to be conducted in 2 years,18,4,3,4,4,3,4,3,3,3,,3,4,5,3,3,3,3,3,3,,N0631,43.7232242,-79.49420441,305251.45,4842362.698
2461,4154398,2017,2021,1960,PRIVATE,6,York Centre,1305 WILSON AVE,8,86,2021-11-04,60,Evaluation needs to be conducted in 1 year,19,3,3,3,3,3,3,2,2,4,2,3,3,5,3,3,3,3,3,3,,N0631,43.72343676,-79.49497644,305189.248,4842386.31
2462,4154396,2017,2021,1960,PRIVATE,6,York Centre,1309 WILSON AVE,7,84,2021-11-04,67,Evaluation needs to be conducted in 2 years,19,3,3,4,3,3,4,3,2,4,3,4,3,5,3,3,3,5,3,3,,N0631,43.72308759,-79.49577364,305125.023,4842347.517
2463,4154780,2017,2021,1960,PRIVATE,16,Don Valley East,1063 DON MILLS RD,4,43,2021-11-04,72,Evaluation needs to be conducted in 2 years,17,4,4,4,3,4,4,,4,4,,3,3,3,3,4,4,3,4,3,,N1627,43.73550645,-79.34234197,317484.175,4843740.129
2464,4153763,2017,2021,1965,PRIVATE,12,Toronto-St. Paul's,155 BALLIOL ST,18,286,2021-11-04,91,Evaluation needs to be conducted in 3 years,20,5,5,5,4,4,5,3,5,5,5,5,5,5,4,4,4,5,4,5,4,S1233,43.69795651,-79.3921296,313479.032,4839562.167
2465,4153764,2017,2021,1968,PRIVATE,12,Toronto-St. Paul's,165 BALLIOL ST,4,48,2021-11-04,80,Evaluation needs to be conducted in 2 years,17,4,4,4,4,4,3,,3,4,,4,5,5,4,5,4,3,3,5,,S1233,43.69807154,-79.39134887,313541.95,4839575.028
2466,4153759,2017,2021,1968,PRIVATE,12,Toronto-St. Paul's,265 BALLIOL ST,26,209,2021-11-04,85,Evaluation needs to be conducted in 2 years,20,4,5,5,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,5,4,S1233,43.69877738,-79.38781075,313810.77,4839659.966
2467,4154224,2017,2021,1960,PRIVATE,7,Humber River-Black Creek,2600 JANE ST,13,115,2021-11-04,82,Evaluation needs to be conducted in 2 years,18,4,4,4,4,3,5,4,4,4,,5,4,4,4,4,4,5,4,4,,W0729,43.74057504,-79.51433472,303629.973,4844290.36
2468,4155173,2017,2021,1962,PRIVATE,5,York South-Weston,2180 WESTON RD,8,62,2021-11-04,94,Evaluation needs to be conducted in 3 years,17,5,4,5,5,5,5,,4,5,,5,4,5,4,5,5,5,5,4,,W0524,43.7029811,-79.52614892,302676.666,4840115.227
2469,4155168,2017,2021,1967,PRIVATE,5,York South-Weston,2240 WESTON RD,19,150,2021-11-04,78,Evaluation needs to be conducted in 2 years,19,4,4,5,3,3,4,3,5,4,3,3,5,5,4,3,3,5,5,3,,W0524,43.70401831,-79.52819219,302512.295,4840229.548
2470,4153348,2017,2021,1920,PRIVATE,12,Toronto-St. Paul's,599 ST CLAIR AVE W,3,16,2021-11-04,89,Evaluation needs to be conducted in 3 years,14,5,5,5,5,,4,,5,,,4,4,4,4,4,4,5,4,,,S1235,43.68209839,-79.42233186,311046.449,4837796.671
2471,4155830,2017,2021,1964,PRIVATE,15,Don Valley West,26 CARLUKE CRES,14,157,2021-11-04,72,Evaluation needs to be conducted in 2 years,18,4,3,4,1,4,3,3,4,5,,3,4,5,3,4,4,5,3,3,,N1521,43.76124314,-79.39063916,313656.45,4846571.551
2472,4244526,2017,2021,1971,PRIVATE,19,Beaches-East York,275 MAIN ST,29,324,2021-11-03,86,Evaluation needs to be conducted in 3 years,19,4,3,5,5,3,5,5,5,5,5,3,3,3,5,5,5,5,5,3,,S1933,43.6875962,-79.30118948,320811.852,4838424.633
2473,4153340,2017,2021,1920,PRIVATE,12,Toronto-St. Paul's,345 ST CLAIR AVE W,4,15,2021-11-03,73,Evaluation needs to be conducted in 2 years,14,3,5,5,4,3,3,,3,,,3,4,5,3,3,4,,3,,,S1236,43.68424051,-79.41161764,311910.078,4838035.533
2474,4155671,2017,2021,1962,PRIVATE,15,Don Valley West,16 CARLUKE CRES,7,101,2021-11-03,83,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,4,4,4,5,,4,3,5,4,4,4,5,4,4,,N1521,43.76112225,-79.39268737,313562.542,4846551.841
2475,4155672,2017,2021,1962,PRIVATE,15,Don Valley West,20 CARLUKE CRES,12,154,2021-11-03,86,Evaluation needs to be conducted in 3 years,18,4,4,5,4,4,5,5,4,5,,4,3,5,3,4,5,5,4,4,,N1521,43.76103747,-79.39150282,313594.376,4846563.389
2476,4153170,2017,2021,1920,PRIVATE,11,University-Rosedale,711 BLOOR ST W,3,12,2021-11-03,60,Evaluation needs to be conducted in 1 year,15,3,2,2,3,3,3,,3,,,3,3,5,3,3,3,3,3,,,S1133,43.66348538,-79.41780225,311413.725,4835729.236
2477,4153831,2017,2021,1956,PRIVATE,15,Don Valley West,77 ERSKINE AVE,4,37,2021-11-03,80,Evaluation needs to be conducted in 2 years,18,4,4,5,3,3,4,,4,5,4,3,4,5,4,4,5,4,4,3,,N1526,43.71137823,-79.39603894,313162.064,4841052.907
2478,4153832,2017,2021,1947,PRIVATE,15,Don Valley West,109 ERSKINE AVE,4,34,2021-11-03,72,Evaluation needs to be conducted in 2 years,18,4,4,5,3,3,4,,3,4,4,3,4,5,2,4,2,3,3,5,,N1526,43.711639,-79.39480209,313261.703,4841082.003
2479,4153835,2017,2021,1970,PRIVATE,15,Don Valley West,133 ERSKINE AVE,11,28,2021-11-03,93,Evaluation needs to be conducted in 3 years,17,4,5,5,4,4,5,,5,5,,4,5,5,4,5,5,5,5,4,,N1526,43.71188706,-79.39409339,313318.78,4841109.635
2480,4153836,2017,2021,1962,PRIVATE,15,Don Valley West,141 ERSKINE AVE,13,160,2021-11-03,89,Evaluation needs to be conducted in 3 years,18,4,5,5,5,4,5,,4,4,4,4,5,5,4,5,4,5,4,4,,N1526,43.7119407,-79.39328215,313384.148,4841115.679
2481,4153746,2017,2021,1969,PRIVATE,12,Toronto-St. Paul's,40 PLEASANT BLVD,32,163,2021-11-03,87,Evaluation needs to be conducted in 3 years,20,5,5,5,3,4,4,4,4,5,4,5,5,5,4,4,4,4,4,4,5,S1238,43.68759418,-79.3924335,313456.285,4838409.917
2482,4153375,2017,2021,1959,PRIVATE,12,Toronto-St. Paul's,268 POPLAR PLAINS RD,10,59,2021-11-03,83,Evaluation needs to be conducted in 2 years,16,5,5,5,4,4,4,,4,4,,4,4,5,4,4,4,,3,3,,S1237,43.68566917,-79.40403387,312521.347,4838194.933
2483,4155053,2017,2021,1967,PRIVATE,8,Eglinton-Lawrence,377 RIDELLE AVE,18,231,2021-11-03,83,Evaluation needs to be conducted in 2 years,19,4,4,5,3,4,4,5,5,5,4,4,4,5,4,4,4,4,3,4,,N0831,43.70388233,-79.44013201,309609.636,4840215.587
2484,4155376,2017,2021,1965,PRIVATE,2,Etobicoke Centre,265 MARKLAND DR,13,149,2021-11-03,78,Evaluation needs to be conducted in 2 years,19,5,2,5,4,3,4,4,4,4,4,4,5,5,4,3,3,5,4,2,,W0233,43.62847469,-79.57963997,298357.691,4831839.575
2485,4155052,2017,2021,1967,PRIVATE,8,Eglinton-Lawrence,145 MARLEE AVE,18,315,2021-11-03,81,Evaluation needs to be conducted in 2 years,19,4,4,5,3,4,4,5,3,4,3,5,4,5,4,4,4,4,4,4,,N0831,43.70326335,-79.44103039,309536.074,4840154.407
2486,4155479,2017,2021,1961,PRIVATE,3,Etobicoke-Lakeshore,2311 LAKE SHORE BLVD W,4,36,2021-11-03,77,Evaluation needs to be conducted in 2 years,15,4,4,5,4,3,5,,4,,,4,3,5,3,4,3,4,3,,,W0336,43.61755556,-79.48652198,305836.076,4830625.046
2487,4154952,2017,2021,1932,PRIVATE,12,Toronto-St. Paul's,1520 BATHURST ST,4,24,2021-11-03,81,Evaluation needs to be conducted in 2 years,14,4,4,4,4,4,4,,5,,,4,4,5,3,4,4,,4,,,S1229,43.6849626,-79.41945657,311277.98,4838115.101
2488,4154951,2017,2021,1932,PRIVATE,12,Toronto-St. Paul's,1524 BATHURST ST,4,24,2021-11-03,81,Evaluation needs to be conducted in 2 years,14,4,4,4,4,4,4,,5,,,4,4,5,3,4,4,,4,,,S1229,43.68510063,-79.41951073,311273.599,4838130.432
2489,4154934,2017,2021,1943,PRIVATE,12,Toronto-St. Paul's,1531 BATHURST ST,4,32,2021-11-03,80,Evaluation needs to be conducted in 2 years,15,4,4,5,4,4,4,,4,,4,4,5,5,3,4,3,,3,,,S1230,43.68564801,-79.41889,311323.587,4838191.296
2490,4154991,2017,2021,1939,PRIVATE,12,Toronto-St. Paul's,1600 BATHURST ST,4,34,2021-11-03,68,Evaluation needs to be conducted in 2 years,15,4,4,4,3,3,2,,4,,,4,3,5,3,4,3,,3,2,,S1229,43.68839141,-79.4208539,311164.975,4838495.947
2491,4153356,2017,2021,1965,PRIVATE,12,Toronto-St. Paul's,425 AVENUE RD,8,47,2021-11-03,83,Evaluation needs to be conducted in 2 years,18,5,5,5,4,4,4,,3,5,5,4,4,5,3,5,3,4,4,3,,S1238,43.68339066,-79.39972248,312869.224,4837942.185
2492,4153937,2019,2021,1952,PRIVATE,12,Toronto-St. Paul's,755 AVENUE RD,4,41,2021-11-03,80,Evaluation needs to be conducted in 2 years,18,4,4,5,3,4,4,,4,4,4,5,4,5,3,4,3,4,4,4,,S1226,43.69698718,-79.40481526,312456.901,4839452.269
2493,4265057,2017,2021,1970,PRIVATE,19,Beaches-East York,2575 DANFORTH AVE,23,335,2021-11-03,80,Evaluation needs to be conducted in 2 years,19,5,3,3,3,3,5,3,5,5,5,3,4,3,5,4,5,5,4,3,,S1933,43.68819279,-79.30031719,320882.019,4838491.074
2494,4155673,2017,2021,2013,PRIVATE,16,Don Valley East,5 DEAUVILLE LANE,7,62,2021-11-03,77,Evaluation needs to be conducted in 2 years,19,4,4,4,4,3,4,3,4,4,,3,4,5,4,4,4,4,4,4,3,N1630,43.71781206,-79.33053852,318400.363,4841821.642
2495,4155789,2017,2021,1958,PRIVATE,16,Don Valley East,1122 DON MILLS RD,6,66,2021-11-03,83,Evaluation needs to be conducted in 2 years,19,5,4,4,4,5,4,5,4,5,4,4,4,5,4,4,4,4,3,3,,N1623,43.73795553,-79.34434905,317321.994,4844011.915
2496,4153374,2017,2021,1965,PRIVATE,12,Toronto-St. Paul's,160 BALMORAL AVE,12,89,2021-11-03,89,Evaluation needs to be conducted in 3 years,19,5,4,5,4,4,5,4,4,4,5,3,5,5,5,5,5,4,4,5,,S1237,43.68449521,-79.40100477,312765.703,4838064.784
2497,4155045,2020,2021,1959,PRIVATE,8,Eglinton-Lawrence,330 HOPEWELL AVE,7,67,2021-11-03,84,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,4,,5,5,4,4,5,5,4,4,4,3,4,4,,N0831,43.70101414,-79.44216061,309446.356,4839896.852
2498,4154273,2017,2021,1965,PRIVATE,7,Humber River-Black Creek,100 YORK GATE BLVD,11,133,2021-11-03,65,Evaluation needs to be conducted in 1 year,19,3,3,3,3,3,3,3,4,4,,3,3,5,2,3,3,2,4,4,4,W0724,43.76214401,-79.5199372,303179.301,4846686.674
2499,4154927,2017,2021,1963,PRIVATE,16,Don Valley East,1210 YORK MILLS RD,10,91,2021-11-03,73,Evaluation needs to be conducted in 2 years,19,3,3,4,3,4,4,3,3,5,3,3,4,5,4,4,3,4,4,3,,N1622,43.75990843,-79.33352955,318188.883,4846451.482
2500,4153338,2017,2021,1987,SOCIAL HOUSING,12,Toronto-St. Paul's,11 WINONA DR,7,150,2021-11-03,88,Evaluation needs to be conducted in 3 years,19,5,5,5,5,4,5,4,3,5,,4,5,4,4,5,4,4,4,4,5,S1234,43.67547654,-79.43014312,310417.24,4837060.459
2501,4155712,2017,2021,1965,PRIVATE,16,Don Valley East,44 VALLEY WOODS RD,22,263,2021-11-03,85,Evaluation needs to be conducted in 2 years,19,4,4,5,4,4,4,4,5,4,4,3,4,5,5,4,5,5,4,4,,N1625,43.754645,-79.33343611,318197.315,4845867.709
2502,4154309,2017,2021,1958,PRIVATE,5,York South-Weston,1252 LAWRENCE AVE W,3,10,2021-11-03,80,Evaluation needs to be conducted in 2 years,16,4,4,5,4,4,4,,4,,4,4,4,5,4,4,3,,4,3,,W0523,43.71085736,-79.47072537,307143.633,4840989.2
2503,4152934,2017,2021,1969,PRIVATE,4,Parkdale-High Park,77 QUEBEC AVE,21,330,2021-11-02,74,Evaluation needs to be conducted in 2 years,16,4,4,4,3,,3,,3,5,,3,3,5,4,4,4,4,3,3,,S0428,,,307422.34,4834828.072
2504,4154938,2017,2021,1967,PRIVATE,12,Toronto-St. Paul's,39 RAGLAN AVE,9,101,2021-11-02,75,Evaluation needs to be conducted in 2 years,19,4,4,5,4,3,3,3,4,4,4,3,3,4,4,4,4,4,4,3,,S1229,43.68478293,-79.41995169,311238.08,4838095.101
2505,4154960,2017,2021,1967,PRIVATE,12,Toronto-St. Paul's,100 RAGLAN AVE,13,230,2021-11-02,77,Evaluation needs to be conducted in 2 years,19,4,4,5,3,3,3,4,4,4,4,4,4,5,3,4,4,4,4,3,,S1229,43.6854489,-79.42092616,311159.446,4838169.018
2506,4154940,2017,2021,1967,PRIVATE,12,Toronto-St. Paul's,111 RAGLAN AVE,23,175,2021-11-02,80,Evaluation needs to be conducted in 2 years,20,5,5,5,3,3,3,3,4,5,3,4,4,4,4,4,4,5,4,4,4,S1229,43.6866285,-79.42072234,311175.759,4838300.092
2507,4155744,2017,2021,1977,SOCIAL HOUSING,4,Parkdale-High Park,66 RONCESVALLES AVE,11,200,2021-11-02,82,Evaluation needs to be conducted in 2 years,19,4,5,5,4,3,4,3,3,5,4,4,5,5,4,4,4,,4,4,4,S0434,43.64019946,-79.44730758,309044.957,4833145.277
2508,4155523,2017,2021,1966,PRIVATE,3,Etobicoke-Lakeshore,245 LAKE SHORE DR,8,52,2021-11-02,92,Evaluation needs to be conducted in 3 years,18,5,5,5,5,5,5,,4,5,5,5,4,5,4,4,4,5,4,4,,W0335,43.59417799,-79.50961352,304007.895,4828027.375
2509,4154565,2017,2021,1954,PRIVATE,8,Eglinton-Lawrence,568 LAWRENCE AVE W,3,29,2021-11-02,79,Evaluation needs to be conducted in 2 years,15,4,3,5,3,4,3,,4,,,3,5,5,4,4,5,,4,3,,N0823,43.71831039,-79.43557813,309975.181,4841819.729
2510,4154196,2017,2021,1960,PRIVATE,15,Don Valley West,27 BRENTCLIFFE RD,3,12,2021-11-02,77,Evaluation needs to be conducted in 2 years,15,4,4,4,4,3,3,,3,,,4,4,5,4,4,4,,4,4,,N1529,43.71498987,-79.35960275,316097.848,4841457.449
2511,4155339,2017,2021,1970,PRIVATE,2,Etobicoke Centre,10 FONTENAY CRT,6,63,2021-11-02,86,Evaluation needs to be conducted in 3 years,18,5,4,5,4,5,4,,4,4,4,4,4,5,3,5,4,5,4,4,,W0230,43.68193051,-79.51165548,303844.403,4837776.302
2512,4155338,2017,2021,1966,PRIVATE,2,Etobicoke Centre,20 FONTENAY CRT,14,96,2021-11-02,76,Evaluation needs to be conducted in 2 years,18,5,3,4,3,3,4,,3,4,4,2,5,5,3,5,4,5,4,2,,W0230,43.68259602,-79.51286141,303747.19,4837850.252
2513,4153848,2017,2021,1957,PRIVATE,15,Don Valley West,170 ERSKINE AVE,4,31,2021-11-02,73,Evaluation needs to be conducted in 2 years,17,4,5,5,3,3,3,,3,4,3,3,4,5,3,4,3,,4,3,,N1526,43.71281712,-79.39257028,313441.386,4841213.122
2514,4153838,2017,2021,1960,PRIVATE,15,Don Valley West,171 ERSKINE AVE,13,47,2021-11-02,73,Evaluation needs to be conducted in 2 years,17,3,5,4,2,4,4,,3,4,,3,4,5,3,5,5,3,3,2,,N1526,43.7123116,-79.39229511,313463.635,4841156.988
2515,4153701,2017,2021,1960,PRIVATE,19,Beaches-East York,1636 GERRARD ST E,6,48,2021-11-02,81,Evaluation needs to be conducted in 2 years,18,5,3,3,5,5,5,,3,5,5,4,3,5,3,4,3,5,3,4,,S1934,43.67596288,-79.31987225,319308.507,4837128.786
2516,4274443,2017,2021,1950,SOCIAL HOUSING,19,Beaches-East York,1845 GERRARD ST E,3,20,2021-11-02,76,Evaluation needs to be conducted in 2 years,15,4,5,3,5,3,3,,5,,,3,3,5,3,4,2,,4,,5,S1934,43.67893136,-79.31349099,319822.568,4837458.76
2517,4154150,2017,2021,1964,PRIVATE,15,Don Valley West,35 THORNCLIFFE PARK DR,18,287,2021-11-02,76,Evaluation needs to be conducted in 2 years,19,4,5,5,4,3,4,3,4,4,3,2,3,5,4,2,4,5,4,4,,N1533,43.70196978,-79.34510508,317268.55,4840013.953
2518,4154455,2017,2021,1967,PRIVATE,6,York Centre,3400 KEELE ST,9,141,2021-11-02,73,Evaluation needs to be conducted in 2 years,18,4,4,5,3,3,4,3,3,4,,3,4,5,3,3,4,4,4,3,,N0625,43.74801564,-79.48790029,305768.008,4845249.455
2519,4154272,,2021,1966,PRIVATE,7,Humber River-Black Creek,90 YORK GATE BLVD,4,40,2021-11-02,67,Evaluation needs to be conducted in 2 years,18,3,3,4,3,3,4,3,3,3,,3,4,4,3,4,3,3,4,3,,W0724,43.7610773,-79.52116167,303080.68,4846568.193
2520,4154410,2017,2021,1965,PRIVATE,6,York Centre,1130 WILSON AVE,11,118,2021-11-02,79,Evaluation needs to be conducted in 2 years,19,4,4,5,4,4,4,3,4,4,4,4,4,5,4,4,4,4,3,3,,N0627,43.72643997,-79.48492026,305999.418,4842720.033
2521,4154183,2017,2021,1950,PRIVATE,15,Don Valley West,1315 BAYVIEW AVE,3,38,2021-11-02,78,Evaluation needs to be conducted in 2 years,16,4,4,4,4,4,3,,4,,,3,4,5,4,4,4,4,4,3,,N1535,43.698585,-79.3720165,315100.405,4839633.389
2522,4155299,2017,2021,1968,PRIVATE,3,Etobicoke-Lakeshore,4875 DUNDAS ST W,10,56,2021-11-02,85,Evaluation needs to be conducted in 2 years,19,4,4,4,3,5,4,4,4,5,4,4,4,5,5,4,4,5,5,4,,W0321,43.64954693,-79.52753248,302563.23,4834178.034
2523,4153217,2017,2021,1957,PRIVATE,11,University-Rosedale,59 SPADINA RD,10,57,2021-11-02,70,Evaluation needs to be conducted in 2 years,18,4,3,5,3,3,4,,3,4,3,3,4,5,3,3,3,4,3,3,,S1127,43.66956191,-79.40463315,312474.989,4836405.38
2524,4154483,2017,2021,1965,PRIVATE,8,Eglinton-Lawrence,120 SHELBORNE AVE,15,187,2021-11-02,84,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,3,4,4,4,,3,5,5,4,5,5,5,4,4,,N0827,43.716259,-79.42985198,310437.032,4841591.256
2525,4154481,2017,2021,1964,PRIVATE,8,Eglinton-Lawrence,2900 BATHURST ST,14,117,2021-11-02,83,Evaluation needs to be conducted in 2 years,18,5,4,5,4,4,3,3,4,5,,4,5,5,4,4,4,5,4,3,,N0827,43.71453477,-79.42921561,310488.473,4841399.748
2526,4154553,2017,2021,1984,SOCIAL HOUSING,8,Eglinton-Lawrence,3270 BATHURST ST,8,160,2021-11-02,80,Evaluation needs to be conducted in 2 years,17,4,4,5,3,4,5,4,3,5,,3,3,5,4,5,4,,4,3,,N0823,43.72423974,-79.43146212,310306.569,4842477.78
2527,4156247,2017,2021,1920,PRIVATE,19,Beaches-East York,85 SILVER BIRCH AVE,4,16,2021-11-01,83,Evaluation needs to be conducted in 2 years,14,5,3,5,5,,3,,5,,,4,3,5,4,3,5,4,4,,,S1942,43.67297519,-79.28492294,322127.679,4836802.572
2528,4152931,2017,2021,1965,PRIVATE,4,Parkdale-High Park,22 OAKMOUNT RD,17,216,2021-11-01,76,Evaluation needs to be conducted in 2 years,18,4,4,4,3,4,4,,3,5,,4,4,5,3,4,3,3,4,3,4,S0428,43.65517605,-79.46354456,307724.991,4834803.534
2529,4155000,2017,2021,1950,PRIVATE,12,Toronto-St. Paul's,1652 BATHURST ST,4,39,2021-11-01,76,Evaluation needs to be conducted in 2 years,16,4,4,4,4,4,4,,3,,3,4,4,5,3,4,4,,4,3,,S1224,43.69424869,-79.42343355,310956.436,4839146.474
2530,4154998,2017,2021,1941,PRIVATE,12,Toronto-St. Paul's,1660 BATHURST ST,3,52,2021-11-01,76,Evaluation needs to be conducted in 2 years,15,4,4,4,4,3,3,,4,,,3,4,5,3,4,4,,4,4,,S1224,43.69505132,-79.4234852,310952.196,4839235.639
2531,4155001,2017,2021,1951,PRIVATE,12,Toronto-St. Paul's,1862 BATHURST ST,7,75,2021-11-01,87,Evaluation needs to be conducted in 3 years,17,5,5,5,4,5,2,,5,5,4,4,4,5,5,4,5,,4,3,,S1224,43.69759946,-79.42456803,310864.673,4839518.652
2532,4153851,2017,2021,1930,PRIVATE,15,Don Valley West,15 SHERWOOD AVE,3,26,2021-11-01,88,Evaluation needs to be conducted in 3 years,15,4,5,5,5,5,2,,5,,,4,3,5,5,5,5,,5,3,,N1526,43.71341494,-79.39858342,312956.739,4841278.923
2533,4153856,2017,2021,1965,PRIVATE,15,Don Valley West,172 SHERWOOD AVE,3,18,2021-11-01,92,Evaluation needs to be conducted in 3 years,17,5,5,5,4,5,5,,4,5,,4,5,5,4,4,5,5,4,4,,N1526,43.7155061,-79.39124146,313548.335,4841511.039
2534,4153667,2017,2021,1920,PRIVATE,19,Beaches-East York,83 SILVER BIRCH AVE,4,16,2021-11-01,74,Evaluation needs to be conducted in 2 years,16,5,3,5,3,5,3,,5,,,3,4,5,3,4,3,4,3,1,,S1942,43.67282239,-79.28487436,322131.64,4836785.607
2535,4155794,2017,2021,1940,PRIVATE,15,Don Valley West,1215 BAYVIEW AVE,4,38,2021-11-01,78,Evaluation needs to be conducted in 2 years,17,4,4,4,4,4,3,,4,4,4,4,3,5,3,4,4,,4,4,,N1535,43.697271,-79.37160695,315133.654,4839487.445
2536,4154186,2017,2021,1954,PRIVATE,15,Don Valley West,1220 BAYVIEW AVE,6,51,2021-11-01,80,Evaluation needs to be conducted in 2 years,18,4,4,4,4,4,4,,4,4,4,4,4,5,4,4,4,4,4,3,,N1535,43.69642571,-79.3720364,315099.186,4839393.482
2537,4154544,2017,2021,1955,PRIVATE,8,Eglinton-Lawrence,45 WASDALE CRES,3,25,2021-11-01,88,Evaluation needs to be conducted in 3 years,16,4,5,5,3,4,3,,5,,,3,5,5,5,5,5,5,4,4,,N0823,43.73038955,-79.43636986,309910.624,4843160.67
2538,4154270,2017,2021,1973,PRIVATE,7,Humber River-Black Creek,4800 JANE ST,9,97,2021-11-01,67,Evaluation needs to be conducted in 2 years,18,3,4,3,3,3,3,3,4,3,,3,3,5,4,3,3,3,4,3,,W0724,43.77118755,-79.52166434,303040.481,4847691.41
2539,4155570,2017,2021,1970,TCHC,24,Scarborough-Guildwood,55 GREENBRAE CRCT,13,128,2021-11-01,80,Evaluation needs to be conducted in 2 years,19,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,E2425,43.75955182,-79.23016636,326511.584,4846434.635
2540,4153744,2017,2021,1967,PRIVATE,12,Toronto-St. Paul's,44 JACKES AVE,24,411,2021-11-01,81,Evaluation needs to be conducted in 2 years,20,5,5,5,4,4,3,4,3,5,4,3,4,5,4,4,3,5,4,3,4,S1238,43.6857858,-79.39117456,313557.781,4838210.101
2541,4154139,2017,2021,1969,PRIVATE,14,Toronto-Danforth,1000 BROADVIEW AVE,18,110,2021-11-01,83,Evaluation needs to be conducted in 2 years,18,4,5,5,3,4,4,3,3,4,,4,4,5,4,4,5,5,5,4,,S1421,43.68286025,-79.35770666,316256.567,4837889.181
2542,4156206,2017,2021,1971,TCHC,17,Don Valley North,2 BRAHMS AVE,12,164,2021-11-01,79,Evaluation needs to be conducted in 2 years,18,4,4,4,4,4,4,4,4,3,,4,4,5,4,4,4,,4,4,3,N1722,43.79230805,-79.35878168,316167.619,4850056.03
2543,4154997,2017,2021,1930,PRIVATE,12,Toronto-St. Paul's,1650 BATHURST ST,3,25,2021-11-01,76,Evaluation needs to be conducted in 2 years,17,4,4,4,4,3,3,,4,,3,4,4,5,3,4,4,4,4,4,,S1224,43.69381453,-79.42312319,310981.496,4839098.264
2544,4152920,2017,2021,1910,PRIVATE,4,Parkdale-High Park,35 JANE ST,3,18,2021-10-31,73,Evaluation needs to be conducted in 2 years,15,3,3,3,4,4,3,,4,,,4,4,5,4,4,3,,4,3,,S0426,43.65036243,-79.48450396,306034.424,4834268.283
2545,4154681,2017,2021,1964,PRIVATE,8,Eglinton-Lawrence,4000 YONGE ST,8,305,2021-10-29,90,Evaluation needs to be conducted in 3 years,20,5,4,5,4,5,4,5,5,5,5,4,5,5,4,4,4,4,5,4,4,N0824,43.74253209,-79.40680954,312290.501,4844511.878
2546,4154682,2017,2021,1950,PRIVATE,8,Eglinton-Lawrence,166 WILSON AVE,4,60,2021-10-29,88,Evaluation needs to be conducted in 3 years,18,5,4,5,4,5,4,,4,5,4,4,4,5,5,4,4,5,4,4,,N0821,43.74040125,-79.42090433,311155.467,4844273.936
2547,4156719,2017,2021,1900,PRIVATE,11,University-Rosedale,359 DAVENPORT RD,4,17,2021-10-29,64,Evaluation needs to be conducted in 1 year,15,4,3,4,3,,3,,3,,,3,3,5,2,3,3,3,3,3,,S1127,43.67523979,-79.40224382,312666.71,4837037.335
2548,4154315,2017,2021,1958,PRIVATE,5,York South-Weston,2637 KEELE ST,3,12,2021-10-29,79,Evaluation needs to be conducted in 2 years,15,4,4,4,3,5,3,,4,,,3,3,5,5,4,4,,5,3,,W0523,43.72080973,-79.4802643,306374.678,4842094.627
2549,4155348,2017,2021,1973,PRIVATE,2,Etobicoke Centre,45 LA ROSE AVE,16,156,2021-10-29,92,Evaluation needs to be conducted in 3 years,18,4,5,5,5,4,5,,4,5,5,4,5,5,4,5,4,5,4,5,,W0230,43.68609202,-79.51587186,303504.825,4838237.733
2550,4154359,2017,2021,1954,PRIVATE,5,York South-Weston,2622 KEELE ST,3,11,2021-10-29,75,Evaluation needs to be conducted in 2 years,15,3,4,4,3,2,4,,4,,,4,3,5,4,4,4,,5,3,,W0522,43.71978221,-79.48096706,306318.079,4841980.465
2551,4154268,2017,2021,1975,PRIVATE,7,Humber River-Black Creek,5000 JANE ST,13,291,2021-10-29,65,Evaluation needs to be conducted in 1 year,19,3,3,3,3,3,3,3,3,3,,3,3,5,3,4,4,3,4,3,3,W0724,43.77371823,-79.52248674,303046.894,4847929.838
2552,4152953,2017,2021,1963,PRIVATE,4,Parkdale-High Park,135 TYNDALL AVE,11,216,2021-10-29,81,Evaluation needs to be conducted in 2 years,18,4,4,5,4,5,3,4,3,5,,3,5,5,3,4,4,4,4,4,,S0437,43.6377207,-79.42833303,310566.868,4832866.086
